graph,num_nodes,algorithm,runtime,total_run_runtime,success_rate,median_stretch,avg_depth
Bellcanada.graphml,48,Super Trees,32.2004,80.4714,0.3315,0.8587,7.0433
Bellsouth.graphml,49,Beacon Nodes,25.6029,50.9257,0.1446,0.0,1.0476
Bellsouth.graphml,49,Global Controller,33.2455,61.5497,0.1558,0.0,1.0476
Bellsouth.graphml,49,PrioList,27.6283,52.7936,0.122,0.0,1.0476
Bellsouth.graphml,49,Simple Decomposition,25.4794,45.0753,0.1266,0.0,1.0476
Bellsouth.graphml,49,Super Trees,24.6254,47.8669,0.1642,0.7729,1.581
Belnet2003.graphml,17,Beacon Nodes,4.962,17.6273,0.034,0.0,0.1412
Belnet2003.graphml,17,Global Controller,4.7607,24.4853,0.0356,0.0,0.1412
Belnet2003.graphml,17,PrioList,12.2387,24.2906,0.0123,0.0,0.1412
Belnet2003.graphml,17,Simple Decomposition,4.8034,16.6145,0.0155,0.0,0.1412
Belnet2003.graphml,17,Super Trees,4.3834,18.9779,0.0153,0.0,0.8031
Belnet2004.graphml,17,Beacon Nodes,13.3062,14.5938,0.0217,0.0,0.2212
Belnet2004.graphml,17,Global Controller,7.9748,29.0616,0.0295,0.0,0.2212
Belnet2004.graphml,17,PrioList,7.499,27.0037,0.0164,0.0,0.2212
Belnet2004.graphml,17,Simple Decomposition,7.728,13.6275,0.015,0.0,0.2212
Belnet2004.graphml,17,Super Trees,7.5929,22.3196,0.0249,0.0,0.9452
Belnet2005.graphml,17,Beacon Nodes,6.4414,14.8685,0.0367,0.0,0.1412
Belnet2005.graphml,17,Global Controller,6.4749,32.3915,0.0457,0.0,0.1412
Belnet2005.graphml,17,PrioList,6.5412,19.1846,0.0101,0.0,0.1412
Belnet2005.graphml,17,Simple Decomposition,6.2141,18.4215,0.0119,0.0,0.1412
Belnet2005.graphml,17,Super Trees,5.7994,19.4136,0.026,0.0,0.8005
Belnet2006.graphml,17,Beacon Nodes,15.9215,27.0073,0.0448,0.0,0.1689
Belnet2006.graphml,17,Global Controller,13.0137,28.0068,0.0377,0.0,0.1689
Belnet2006.graphml,17,PrioList,7.5776,20.178,0.0118,0.0,0.1689
Belnet2006.graphml,17,Simple Decomposition,7.0605,42.6251,0.0109,0.0,0.1689
Belnet2006.graphml,17,Super Trees,7.5222,32.6204,0.2967,0.3378,0.8736
Belnet2007.graphml,21,Beacon Nodes,2.1309,19.9527,0.069,0.0,1.9413
Belnet2007.graphml,21,Global Controller,5.7193,17.2806,0.0498,0.0,1.9413
Belnet2007.graphml,21,PrioList,1.8835,23.2384,0.0333,0.0,1.9413
Belnet2007.graphml,21,Simple Decomposition,10.9788,27.1864,0.0302,0.0,1.9413
Belnet2007.graphml,21,Super Trees,2.2889,20.1862,0.1747,0.1021,2.9981
Belnet2008.graphml,21,Beacon Nodes,1.5813,20.6651,0.0488,0.0,1.7952
Belnet2008.graphml,21,Global Controller,1.4282,12.9579,0.0463,0.0,1.7952
Belnet2008.graphml,21,PrioList,13.0882,20.3514,0.0376,0.0,1.7952
Belnet2008.graphml,21,Simple Decomposition,1.5808,29.6601,0.0268,0.0,1.7952
Belnet2008.graphml,21,Super Trees,1.8768,20.0894,0.0377,0.0,1.4128
Belnet2009.graphml,21,Beacon Nodes,1.9866,18.063,0.0467,0.4082,2.2238
Belnet2009.graphml,21,Global Controller,10.6442,15.2096,0.0525,0.4082,2.2238
Belnet2009.graphml,21,PrioList,5.2363,17.4856,0.0382,0.0,2.2238
Belnet2009.graphml,21,Simple Decomposition,1.4791,19.248,0.0351,0.0,2.2238
Belnet2009.graphml,21,Super Trees,1.636,15.7849,0.0786,0.0,2.6429
Belnet2010.graphml,19,Beacon Nodes,2.8362,17.4528,0.1095,0.0,1.6561
Belnet2010.graphml,19,Global Controller,6.5365,18.7366,0.1171,0.4082,1.6561
Belnet2010.graphml,19,PrioList,3.0505,18.8707,0.1324,0.0,1.6561
Belnet2010.graphml,19,Simple Decomposition,3.1535,16.6687,0.1336,0.0,1.6561
Belnet2010.graphml,19,Super Trees,2.7699,24.3568,0.2028,0.0,3.3032
BeyondTheNetwork.graphml,29,Beacon Nodes,9.333,26.1438,0.0202,0.0,2.7537
BeyondTheNetwork.graphml,29,Global Controller,9.5038,20.2312,0.0407,0.2242,2.7537
BeyondTheNetwork.graphml,29,PrioList,8.6941,24.1796,0.014,0.2823,2.7537
BeyondTheNetwork.graphml,29,Simple Decomposition,9.0999,22.1277,0.0131,0.2242,2.7537
BeyondTheNetwork.graphml,29,Super Trees,9.377,29.7445,0.1758,0.4773,3.4389
Bics.graphml,33,Beacon Nodes,23.6936,53.9218,0.1243,0.2823,2.1196
Bics.graphml,33,Global Controller,22.4871,51.2877,0.1196,0.2242,2.1196
Bics.graphml,33,PrioList,23.0606,51.4504,0.1216,0.0,2.1196
Bics.graphml,33,Simple Decomposition,24.6998,49.5008,0.1382,0.2041,2.1196
Bics.graphml,33,Super Trees,20.331,55.7053,0.2405,0.8341,3.0886
Biznet.graphml,28,Beacon Nodes,4.7124,22.6338,0.0765,0.2041,2.7079
Biznet.graphml,28,Global Controller,4.5381,20.8207,0.0788,0.2041,2.7079
Biznet.graphml,28,PrioList,4.727,30.6654,0.0702,0.0,2.7079
Biznet.graphml,28,Simple Decomposition,4.8543,19.8943,0.0871,0.0,2.7079
Biznet.graphml,28,Super Trees,8.0666,40.6158,0.3021,0.2041,6.1494
