#n= 5, connectivity= 4, repetitions= 100
#n, time to compute arborescence, time for swapping in seconds
5, 0.002471, 0.037068
5, 0.003245, 0.039717
5, 0.003859, 0.038584
5, 0.003082, 0.040799
5, 0.003280, 0.038580
5, 0.004110, 0.037984
5, 0.003018, 0.041090
5, 0.003156, 0.040432
5, 0.005474, 0.037545
5, 0.004228, 0.044231
5, 0.003340, 0.040442
5, 0.004507, 0.037720
5, 0.003335, 0.039561
5, 0.004092, 0.036348
5, 0.002047, 0.042682
5, 0.003010, 0.039207
5, 0.005143, 0.039793
5, 0.003211, 0.038434
5, 0.004120, 0.038863
5, 0.002060, 0.040500
5, 0.002277, 0.046712
5, 0.003058, 0.042904
5, 0.003225, 0.044093
5, 0.002119, 0.048745
5, 0.004001, 0.048133
5, 0.002010, 0.045472
5, 0.002293, 0.044818
5, 0.004420, 0.041499
5, 0.005064, 0.041077
5, 0.003238, 0.039200
5, 0.004320, 0.039631
5, 0.004016, 0.038612
5, 0.003468, 0.045739
5, 0.003086, 0.040320
5, 0.003000, 0.041605
5, 0.002363, 0.041670
5, 0.003003, 0.038568
5, 0.002372, 0.047207
5, 0.002211, 0.042689
5, 0.002382, 0.041308
5, 0.003208, 0.044347
5, 0.005102, 0.040549
5, 0.004010, 0.051627
5, 0.003439, 0.043449
5, 0.003139, 0.040642
5, 0.002023, 0.037481
5, 0.002217, 0.037539
5, 0.002186, 0.043746
5, 0.003075, 0.037408
5, 0.002085, 0.043544
5, 0.003027, 0.045140
